company_name,cluster,avg_ctc,total_offers
Abb,1,10.0,1.0
Accenture (T2),1,4.0,1.0
Akamai,1,18.0,1.0
Amadeus,3,12.0,3.0
Arista,1,19.5,1.0
Ascedion,1,4.0,1.0
Astrazeneca (T2),2,0.0843,5.0
Bounteous X Accolite (T2),1,0.08,1.0
Cognizant (T2),3,7.0,11.0
Columbia Sportswear Company (T2),1,6.0,1.0
Commonwealth Bank Of Australia,3,12.0,9.0
Consillio (T2),3,8.0,15.0
Dover,1,13.0,1.0
E-Litmus,1,0.12,1.0
Emids,1,6.0,1.0
Eurofins (T2),2,0.1,9.0
Expedia,1,31.0,1.0
Fidelity,1,12.0,1.0
G2,1,15.0,1.0
Gkn Aerospace,1,10.0,1.0
Hcl Tech (T3),1,4.0,1.0
Hpe (Catch Them Young - Cty),1,17.5,1.0
Ig Group,1,13.0,1.0
Infosys (All India),3,9.5,8.0
Infosys (T3),1,3.6,1.0
Jpmc (Thru Hackathon),1,19.3,1.0
Jsw,1,8.0,1.0
Kpmg Global Services,1,5.0,1.0
Licious,1,0.16,1.0
Ltimindtree,0,4.0,41.0
Media.Net,1,8.0,1.0
Microland (T3),1,4.0,1.0
Microsoft,1,32.0,1.0
Morgan Stanley,1,29.48,1.0
Phdata,3,10.0,20.0
Rapido,1,18.0,1.0
Relx (Elsevier / Lnlp) (T2),1,8.0,1.0
Rsm Usi (T2),1,7.7,1.0
Safran Technologies (T3),1,4.5,1.0
Sun Life (T2),3,7.0,4.0
Superjoin.Ai,1,16.0,1.0
Tech Mahindra (T3),1,3.25,1.0
Telstra (T2),3,10.0,10.0
Tesco (Offcampus) (Female) (All India),1,18.0,1.0
Thorogood Associates,3,14.81,2.0
Upl,1,10.0,1.0
Ust,1,10.0,1.0
Visa,2,0.41,3.0
Volvo (T2),1,7.5,1.0
